captured_at,display_timezone,source_version,schema_version,candidates,published,in_stock,out_of_stock,unchecked,excluded_unavailable,excluded_invalid,banner,marketplace_label,owner_name,storefront_name,directions,material,item_name,variant_summary,bundle_amount,customer_buy_price,customer_buy_unit_price,availability_at_capture,location_label
"2026-08-31T12:21:28.996799Z","Europe/Amsterdam","1.15.2",2,335,335,0,0,335,0,0,"Captured on 31 August 2026 at 14:21 CEST. Prices, storefronts, and directions may have changed. Stock was not checked during this read-only capture. Use /shops search for current availability.","/warp shops","AtariMaster","","","ALLIUM","Allium","",16,500.0,31.25,"UNCHECKED",""
"2026-08-31T12:21:28.996799Z","Europe/Amsterdam","1.15.2",2,335,335,0,0,335,0,0,"Captured on 31 August 2026 at 14:21 CEST. Prices, storefronts, and directions may have changed. Stock was not checked during this read-only capture. Use /shops search for current availability.","/warp shops","FireMarshal2014","","","AMETHYST_SHARD","Amethyst Shard","",64,1000.0,15.625,"UNCHECKED",""
"2026-08-31T12:21:28.996799Z","Europe/Amsterdam","1.15.2",2,335,335,0,0,335,0,0,"Captured on 31 August 2026 at 14:21 CEST. Prices, storefronts, and directions may have changed. Stock was not checked during this read-only capture. Use /shops search for current availability.","/warp shops","LoyalOrange503","","","APPLE","Apple","",64,750.0,11.71875,"UNCHECKED",""
"2026-08-31T12:21:28.996799Z","Europe/Amsterdam","1.15.2",2,335,335,0,0,335,0,0,"Captured on 31 August 2026 at 14:21 CEST. Prices, storefronts, and directions may have changed. Stock was not checked during this read-only capture. Use /shops search for current availability.","/warp shops","mrfloris","","","APPLE","Apple","",8,50.0,6.25,"UNCHECKED",""
"2026-08-31T12:21:28.996799Z","Europe/Amsterdam","1.15.2",2,335,335,0,0,335,0,0,"Captured on 31 August 2026 at 14:21 CEST. Prices, storefronts, and directions may have changed. Stock was not checked during this read-only capture. Use /shops search for current availability.","/warp shops","Savvas4040","","","APPLE","Apple","",5,100.0,20.0,"UNCHECKED",""
"2026-08-31T12:21:28.996799Z","Europe/Amsterdam","1.15.2",2,335,335,0,0,335,0,0,"Captured on 31 August 2026 at 14:21 CEST. Prices, storefronts, and directions may have changed. Stock was not checked during this read-only capture. Use /shops search for current availability.","/warp shops","Blazing_Lizard3","","","ARMOR_STAND","Armour Stand","",1,10.0,10.0,"UNCHECKED",""
"2026-08-31T12:21:28.996799Z","Europe/Amsterdam","1.15.2",2,335,335,0,0,335,0,0,"Captured on 31 August 2026 at 14:21 CEST. Prices, storefronts, and directions may have changed. Stock was not checked during this read-only capture. Use /shops search for current availability.","/warp shops","AtariMaster","","","AZALEA","Azalea","",8,500.0,62.5,"UNCHECKED",""
"2026-08-31T12:21:28.996799Z","Europe/Amsterdam","1.15.2",2,335,335,0,0,335,0,0,"Captured on 31 August 2026 at 14:21 CEST. Prices, storefronts, and directions may have changed. Stock was not checked during this read-only capture. Use /shops search for current availability.","/warp shops","AtariMaster","","","AZURE_BLUET","Azure Bluet","",16,500.0,31.25,"UNCHECKED",""
"2026-08-31T12:21:28.996799Z","Europe/Amsterdam","1.15.2",2,335,335,0,0,335,0,0,"Captured on 31 August 2026 at 14:21 CEST. Prices, storefronts, and directions may have changed. Stock was not checked during this read-only capture. Use /shops search for current availability.","/warp shops","Fr33_S0uL","","","BAKED_POTATO","Jacket Potato","",16,64.0,4.0,"UNCHECKED",""
"2026-08-31T12:21:28.996799Z","Europe/Amsterdam","1.15.2",2,335,335,0,0,335,0,0,"Captured on 31 August 2026 at 14:21 CEST. Prices, storefronts, and directions may have changed. Stock was not checked during this read-only capture. Use /shops search for current availability.","/warp shops","LoyalOrange503","","","BAKED_POTATO","Jacket Potato","",64,1250.0,19.53125,"UNCHECKED",""
"2026-08-31T12:21:28.996799Z","Europe/Amsterdam","1.15.2",2,335,335,0,0,335,0,0,"Captured on 31 August 2026 at 14:21 CEST. Prices, storefronts, and directions may have changed. Stock was not checked during this read-only capture. Use /shops search for current availability.","/warp shops","JahLion","","","BAMBOO_BLOCK","Block of Bamboo","",64,2500.0,39.0625,"UNCHECKED",""
"2026-08-31T12:21:28.996799Z","Europe/Amsterdam","1.15.2",2,335,335,0,0,335,0,0,"Captured on 31 August 2026 at 14:21 CEST. Prices, storefronts, and directions may have changed. Stock was not checked during this read-only capture. Use /shops search for current availability.","/warp shops","MiniKitten718","","","BEACON","Beacon","",1,50000.0,50000.0,"UNCHECKED",""
"2026-08-31T12:21:28.996799Z","Europe/Amsterdam","1.15.2",2,335,335,0,0,335,0,0,"Captured on 31 August 2026 at 14:21 CEST. Prices, storefronts, and directions may have changed. Stock was not checked during this read-only capture. Use /shops search for current availability.","/warp shops","LoyalOrange503","","","BEETROOT","Beetroot","",64,750.0,11.71875,"UNCHECKED",""
"2026-08-31T12:21:28.996799Z","Europe/Amsterdam","1.15.2",2,335,335,0,0,335,0,0,"Captured on 31 August 2026 at 14:21 CEST. Prices, storefronts, and directions may have changed. Stock was not checked during this read-only capture. Use /shops search for current availability.","/warp shops","LoyalOrange503","","","BEETROOT_SEEDS","Beetroot Seeds","",64,500.0,7.8125,"UNCHECKED",""
"2026-08-31T12:21:28.996799Z","Europe/Amsterdam","1.15.2",2,335,335,0,0,335,0,0,"Captured on 31 August 2026 at 14:21 CEST. Prices, storefronts, and directions may have changed. Stock was not checked during this read-only capture. Use /shops search for current availability.","/warp shops","Fr33_S0uL","","","BLACK_BANNER","Black Banner","",1,500.0,500.0,"UNCHECKED",""
"2026-08-31T12:21:28.996799Z","Europe/Amsterdam","1.15.2",2,335,335,0,0,335,0,0,"Captured on 31 August 2026 at 14:21 CEST. Prices, storefronts, and directions may have changed. Stock was not checked during this read-only capture. Use /shops search for current availability.","/warp shops","Fr33_S0uL","","","BLACK_BANNER","Black Banner","",1,5000.0,5000.0,"UNCHECKED",""
"2026-08-31T12:21:28.996799Z","Europe/Amsterdam","1.15.2",2,335,335,0,0,335,0,0,"Captured on 31 August 2026 at 14:21 CEST. Prices, storefronts, and directions may have changed. Stock was not checked during this read-only capture. Use /shops search for current availability.","/warp shops","Fr33_S0uL","","","BLACK_BANNER","Black Banner","",1,5000.0,5000.0,"UNCHECKED",""
"2026-08-31T12:21:28.996799Z","Europe/Amsterdam","1.15.2",2,335,335,0,0,335,0,0,"Captured on 31 August 2026 at 14:21 CEST. Prices, storefronts, and directions may have changed. Stock was not checked during this read-only capture. Use /shops search for current availability.","/warp shops","Fr33_S0uL","","","BLACK_BANNER","Black Banner","",1,5000.0,5000.0,"UNCHECKED",""
"2026-08-31T12:21:28.996799Z","Europe/Amsterdam","1.15.2",2,335,335,0,0,335,0,0,"Captured on 31 August 2026 at 14:21 CEST. Prices, storefronts, and directions may have changed. Stock was not checked during this read-only capture. Use /shops search for current availability.","/warp shops","Fr33_S0uL","","","BLACK_BANNER","Black Banner","",1,5000.0,5000.0,"UNCHECKED",""
"2026-08-31T12:21:28.996799Z","Europe/Amsterdam","1.15.2",2,335,335,0,0,335,0,0,"Captured on 31 August 2026 at 14:21 CEST. Prices, storefronts, and directions may have changed. Stock was not checked during this read-only capture. Use /shops search for current availability.","/warp shops","Fr33_S0uL","","","BLACK_BANNER","Black Banner","",1,5000.0,5000.0,"UNCHECKED",""
